Version.[Version Name];Geo.[Country];Time.[Month];Inventory;Orders;Shipment;GDP;GDPClean;CPI;Year;E-Atlantic;E-Gulf;E-Non-Coast;E-Pacific;WS-Atlantic;WS-Gulf;WS-Non-Coast;WS-Pacific;WO-Atlantic;WO-Gulf;WO-Non-Coast;WO-Pacific;Covid_Cases;Covid_Deaths;Comp_Perc;Mob_Perc;Holiday;Flights_DelayTime_Weather;Flights_DelayTime_Weather_3MONTHS_DELAY;Num_Flights
CurrentWorkingView;USA;1/9/03;40613;29200;34252;;2886905;84.93250572;2003;;;;;;;;;;;;;;;;;;2262.82;4188.7;527714
CurrentWorkingView;USA;1/10/03;41523;25617;29697;2994399;2994399;84.84078595;2003;;;;;;;;;;;;;;;;;;1643.1;5079.41;552370
CurrentWorkingView;USA;1/11/03;41504;23917;29797;;2994399;84.61148653;2003;;;;;;;;;;;;;;;;;;3381.05;5803.63;528171
CurrentWorkingView;USA;1/12/03;39779;32515;36087;;2994399;84.51976676;2003;;;;;;;;;;;;;;;;;;4448.94;2262.82;555495
CurrentWorkingView;USA;1/1/04;39734;21723;26158;2924602;2924602;84.93250572;2004;;;;;;;;;;;;;;;;;;7907.54;1643.1;583987
CurrentWorkingView;USA;1/2/04;39779;23689;28189;;2924602;85.39110456;2004;;;;;;;;;;;;;;;;;;5848.4;3381.05;553876
CurrentWorkingView;USA;1/3/04;38803;30018;33933;;2924602;85.94142317;2004;;;;;;;;;;;;;;;;;;3493.54;4448.94;601412
CurrentWorkingView;USA;1/4/04;39969;22149;27739;3032386;3032386;86.21658248;2004;;;;;;;;;;;;;;;;;;3129.09;7907.54;582970
CurrentWorkingView;USA;1/5/04;40238;22920;28511;;3032386;86.7210412;2004;;;;;;;;;;;;;;;;;;6590.67;5848.4;594457
CurrentWorkingView;USA;1/6/04;39510;27298;33568;;3032386;86.99620051;2004;;;;;;;;;;;;;;;;;;9338.61;3493.54;588792
CurrentWorkingView;USA;1/7/04;40420;19822;26985;3069688;3069688;86.85862086;2004;;;;;;;;;;;;;;;;;;6610.29;3129.09;614166
CurrentWorkingView;USA;1/8/04;40580;21588;29403;;3069688;86.90448074;2004;;;;;;;;;;;;;;;;;;6573.75;6590.67;623107
CurrentWorkingView;USA;1/9/04;39152;30105;34163;;3069688;87.08792028;2004;;;;;;;;;;;;;;;;;;3241.75;9338.61;585125
CurrentWorkingView;USA;1/10/04;40226;24019;29886;3190521;3190521;87.54651912;2004;;;;;;;;;;;;;;;;;;5146.37;6610.29;610037
CurrentWorkingView;USA;1/11/04;39986;23743;30785;;3190521;87.592379;2004;;;;;;;;;;;;;;;;;;5895.29;6573.75;584610
CurrentWorkingView;USA;1/12/04;37751;31715;36225;;3190521;87.27135981;2004;;;;;;;;;;;;;;;;;;7830.84;3241.75;606731
CurrentWorkingView;USA;1/1/05;39686;22298;26902;3111329;3111329;87.45479935;2005;;;;;;;;;;;;;;;;;;8202.75;5146.37;594923
CurrentWorkingView;USA;1/2/05;40342;23441;28033;;3111329;87.95925808;2005;;;;;;;;;;;;;;;;;;4773.6;5895.29;545332
CurrentWorkingView;USA;1/3/05;38906;30198;35114;;3111329;88.64715634;2005;;;;;;;;;;;;;;;;;;5427.3;7830.84;617540
CurrentWorkingView;USA;1/4/05;40114;21217;27592;3232051;3232051;89.24333484;2005;;;;;;;;;;;;;;;;;;3401.33;8202.75;594492
CurrentWorkingView;USA;1/5/05;41183;21628;28738;;3232051;89.15161507;2005;;;;;;;;;;;;;;;;;;3765.82;4773.6;614802
CurrentWorkingView;USA;1/6/05;40242;30354;34969;;3232051;89.19747495;2005;;;;;;;;;;;;;;;;;;6782.53;5427.3;609195
CurrentWorkingView;USA;1/7/05;42252;20186;26409;3306451;3306451;89.61021391;2005;;;;;;;;;;;;;;;;;;9527.63;3401.33;627961
CurrentWorkingView;USA;1/8/05;43170;23807;30219;;3306451;90.06881276;2005;;;;;;;;;;;;;;;;;;7231.91;3765.82;630904
CurrentWorkingView;USA;1/9/05;42601;29175;35637;;3306451;91.16944998;2005;;;;;;;;;;;;;;;;;;3157.29;6782.53;574253
CurrentWorkingView;USA;1/10/05;44236;23681;30175;3389367;3389367;91.35288952;2005;;;;;;;;;;;;;;;;;;4048.48;9527.63;592712
CurrentWorkingView;USA;1/11/05;45780;23618;30891;;3389367;90.61913137;2005;;;;;;;;;;;;;;;;;;3895.45;7231.91;566138
CurrentWorkingView;USA;1/12/05;43663;31902;38203;;3389367;90.25225229;2005;;;;;;;;;;;;;;;;;;6467.69;3157.29;572343
CurrentWorkingView;USA;1/1/06;45626;21815;26929;3333266;3333266;90.94015056;2006;;;;;;;;;;;;;;;;;;5039.17;4048.48;581287
CurrentWorkingView;USA;1/2/06;45359;24639;30523;;3333266;91.1235901;2006;;;;;;;;;;;;;;;;;;4862.9;3895.45;531247
CurrentWorkingView;USA;1/3/06;44386;33866;36984;;3333266;91.62804882;2006;;;;;;;;;;;;;;;;;;4929.66;6467.69;605217
CurrentWorkingView;USA;1/4/06;45941;24659;28851;3460990;3460990;92.40766686;2006;;;;;;;;;;;;;;;;;;4086.91;5039.17;585351
CurrentWorkingView;USA;1/5/06;46505;23337;30910;;3460990;92.8662657;2006;;;;;;;;;;;;;;;;;;4929.63;4862.9;602919
CurrentWorkingView;USA;1/6/06;45238;31584;37118;;3460990;93.04970524;2006;;;;;;;;;;;;;;;;;;7543.95;4929.66;598315
CurrentWorkingView;USA;1/7/06;46869;24710;28587;3463694;3463694;93.32486454;2006;;;;;;;;;;;;;;;;;;7164.72;4086.91;621244
CurrentWorkingView;USA;1/8/06;47913;25290;32018;;3463694;93.50830408;2006;;;;;;;;;;;;;;;;;;6245.33;4929.63;628732
CurrentWorkingView;USA;1/9/06;46412;33062;37052;;3463694;93.04970524;2006;;;;;;;;;;;;;;;;;;5401.02;7543.95;584937
CurrentWorkingView;USA;1/10/06;47556;25768;31624;3557633;3557633;92.54524651;2006;;;;;;;;;;;;;;;;;;5821.52;7164.72;611718
CurrentWorkingView;USA;1/11/06;48158;28569;32997;;3557633;92.40766686;2006;;;;;;;;;;;;;;;;;;4633.95;6245.33;586197
CurrentWorkingView;USA;1/12/06;45261;34499;37220;;3557633;92.54524651;2006;;;;;;;;;;;;;;;;;;5879.39;5401.02;604758
CurrentWorkingView;USA;1/1/07;47079;22271;29316;3482006;3482006;92.8277434;2007;;;;;;;;;;;;;;;;;;7031.83;5821.52;621559
CurrentWorkingView;USA;1/2/07;47359;26661;30277;;3482006;93.32440594;2007;;;;;;;;;;;;;;;;;;7810.05;4633.95;565604
CurrentWorkingView;USA;1/3/07;45422;29663;35992;;3482006;94.1741896;2007;;;;;;;;;;;;;;;;;;5114.39;5879.39;639209
CurrentWorkingView;USA;1/4/07;46281;23633;31188;3613882;3613882;94.78596046;2007;;;;;;;;;;;;;;;;;;4320.84;7031.83;614648
CurrentWorkingView;USA;1/5/07;46939;25068;30994;;3613882;95.36517079;2007;;;;;;;;;;;;;;;;;;4827.75;7810.05;631609
CurrentWorkingView;USA;1/6/07;45054;30002;36637;;3613882;95.54998613;2007;;;;;;;;;;;;;;;;;;8955;5114.39;629280
CurrentWorkingView;USA;1/7/07;44548;23438;28376;3637993;3637993;95.52568039;2007;;;;;;;;;;;;;;;;;;8536.13;4320.84;648560
CurrentWorkingView;USA;1/8/07;45238;26127;31976;;3637993;95.35049563;2007;;;;;;;;;;;;;;;;;;6724.55;4827.75;653279
CurrentWorkingView;USA;1/9/07;44798;32411;36542;;3637993;95.61327277;2007;;;;;;;;;;;;;;;;;;3335.62;8955;600187
CurrentWorkingView;USA;1/10/07;45773;26515;32720;3740350;3740350;95.81780785;2007;;;;;;;;;;;;;;;;;;4017.85;8536.13;629992
CurrentWorkingView;USA;1/11/07;46373;25674;33239;;3740350;96.38692902;2007;;;;;;;;;;;;;;;;;;3073.99;6724.55;605149
CurrentWorkingView;USA;1/12/07;44451;34291;38471;;3740350;96.32226658;2007;;;;;;;;;;;;;;;;;;8558.88;3335.62;616382
CurrentWorkingView;USA;1/1/08;45459;23468;31437;3657487;3657487;96.80104377;2008;;;;;;;;;;;;;;;;;;5357.61;4017.85;605765
CurrentWorkingView;USA;1/2/08;45913;25867;30206;;3657487;97.08216486;2008;;;;;;;;;;;;;;;;;;6781.73;3073.99;569236
CurrentWorkingView;USA;1/3/08;44423;31478;35350;;3657487;97.92369374;2008;;;;;;;;;;;;;;;;;;5745.9;8558.88;616090
CurrentWorkingView;USA;1/4/08;45389;23404;31045;3715835;3715835;98.51757924;2008;;;;;;;;;;;;;;;;;;3310.25;5357.61;598126
CurrentWorkingView;USA;1/5/08;45675;24911;31062;;3715835;99.34718455;2008;;;;;;;;;;;;;;;;;;3237.06;6781.73;606293
CurrentWorkingView;USA;1/6/08;43930;31893;35292;;3715835;100.3483058;2008;;;;;;;;;;;;;;;;;;6925.65;5745.9;608665
CurrentWorkingView;USA;1/7/08;44959;22331;30685;3698182;3698182;100.8752359;2008;;;;;;;;;;;;;;;;;;6339.75;3310.25;627931
CurrentWorkingView;USA;1/8/08;45558;24180;29793;;3698182;100.4725861;2008;;;;;;;;;;;;;;;;;;5036.51;3237.06;612279
CurrentWorkingView;USA;1/9/08;44043;31174;34768;;3698182;100.3336307;2008;;;;;;;;;;;;;;;;;;2171.46;6925.65;540908
CurrentWorkingView;USA;1/10/08;44788;23614;31367;3698360;3698360;99.32012722;2008;;;;;;;;;;;;;;;;;;1445.04;6339.75;556205
CurrentWorkingView;USA;1/11/08;44842;24036;28115;;3698360;97.41785921;2008;;;;;;;;;;;;;;;;;;1951.39;5036.51;523272
CurrentWorkingView;USA;1/12/08;42958;29873;33977;;3698360;96.41031756;2008;;;;;;;;;;;;;;;;;;8337.09;2171.46;544956
